Node_A,Node_B,Node_C,M_abc,Abs_M_abc
MF,DMN,CBL,1.04385608018929,1.04385608018929
FP,FP,CBL,0.980074921190889,0.980074921190889
VI,SAL,SAL,0.943331353814392,0.943331353814392
VII,CBL,CBL,0.942658780952216,0.942658780952216
DMN,SAL,CBL,0.91999926049666,0.91999926049666
DMN,VI,CBL,0.914727106535453,0.914727106535453
VII,VII,CBL,0.913362627368421,0.913362627368421
FP,FP,VAs,0.898630726628398,0.898630726628398
FP,CBL,CBL,0.887704752336846,0.887704752336846
VI,VI,VII,0.883884072939194,0.883884072939194
Mot,VI,CBL,0.842818267683945,0.842818267683945
FP,SAL,CBL,0.841311397252892,0.841311397252892
MF,MF,SC,0.830974443232727,0.830974443232727
VI,VI,CBL,0.829357308856541,0.829357308856541
DMN,DMN,VAs,-0.808418485042905,0.808418485042905
